DEPARTURE_ARRIVAL_DURATION,ARRIVAL_DEPARTURE_DURATION,STOPOVERS,VESSEL_TYPE,HULL_MATERIAL,VESSEL_LENGTH,VESSEL_BEAN,VESSEL_DRAFT,VESSEL_DEPTH,MOTOR_POWER,SPEED,NUM_PROPELLERS,NUM_GENERATORS,TPB,LIGHT_DISPLACEMENT,CREW,PASS_CAPACITY,LOAD_CAPACITY,FUEL_CONSUMPTION
8100.0,8100.0,0,MOTORBOAT,NAVAL_STEEL,30.0,6.5,2.2,3.1,500.0,25.0,1,1.0,,,5,220.0,0.0,180.0
36000.0,36000.0,1,PASSENGER/GENERAL_LOAD,WOOD,34.0,8.4,2.2,3.0,600.0,16.0,2,2.0,,,5,280.0,143.0,300.0
43200.0,43200.0,0,PASSENGER/GENERAL_LOAD,WOOD,34.0,8.0,2.1,2.9,550.0,22.0,1,1.0,,,6,180.0,144.0,1600.0
36000.0,36000.0,1,PASSENGER/GENERAL_LOAD,NAVAL_STEEL,42.0,10.9,1.36,1.6,550.0,22.0,2,2.0,,,6,436.0,300.0,2550.0
46800.0,39600.0,2,MOTORBOAT,ALUMINIUM,27.0,3.6,0.7,1.5,660.0,20.0,1,1.0,,,5,70.0,46.0,3600.0
72000.0,64800.0,2,MOTORBOAT,ALUMINIUM,23.0,4.3,1.2,1.8,600.0,28.0,1,1.0,,,3,84.0,0.0,4200.0
2160.0,1920.0,10,MOTORBOAT,ALUMINIUM,43.0,5.3,0.6,1.7,180.0,15.0,2,1.0,,,8,145.0,59.0,7000.0
6600.0,5400.0,0,MOTORBOAT,ALUMINIUM,17.95,3.0,0.8,1.1,250.0,25.0,1,1.0,,,2,60.0,0.0,410.0
2160.0,2160.0,4,MOTORBOAT,ALUMINIUM,35.0,4.8,1.0,1.4,260.0,25.0,2,1.0,,,7,126.0,0.0,9400.0
3600.0,3600.0,0,MOTORBOAT,ALUMINIUM,19.0,4.8,1.6,2.7,600.0,35.0,1,1.0,,,2,48.0,0.0,310.0
2160.0,2160.0,8,MOTORBOAT,ALUMINIUM,27.2,4.36,1.0,1.2,520.0,25.0,2,1.0,,,4,95.0,0.0,9800.0
50400.0,46800.0,3,MOTORBOAT,ALUMINIUM,22.0,3.8,1.3,1.8,520.0,25.0,1,1.0,,,5,57.0,0.0,3000.0
2700.0,2700.0,0,MOTORBOAT,ALUMINIUM,22.9,4.6,1.0,1.4,450.0,18.0,2,2.0,,,3,120.0,0.0,120.0
3600.0,3600.0,0,PASSENGERS,WOOD,21.0,4.1,1.2,1.2,190.0,12.0,1,1.0,,,3,108.0,55.0,120.0
2700.0,2700.0,0,PASSENGERS,ALUMINIUM,21.6,3.8,1.0,1.9,410.0,21.0,1,1.0,,,3,70.0,0.0,140.0
2700.0,2700.0,0,MOTORBOAT,ALUMINIUM,24.0,2.807,0.7,1.0,215.0,22.0,1,0.0,,,3,90.0,0.0,90.0
