Nome da empresa,Endereço,Telefone,Proprietário,1. Nome da embarcaçao,2.1. Linha de atuaçao,2.2. Escalas,3. Porto de atracaçao - Origem,Linha Origem,UF Porto de atracação - Origem,4. Porto de atracaçao - Destino,Linha Destino,UF Porto de atracação - Destino,5. Número de Inscriçao,6. Ano de construçao,7. Tipo de embarcaçao,8. Material do casco,9. Comprimento,10. Boca,11. Calado,12. Pontal,13. Potência do motor,14. Velocidade,15. Número de propulsores,16. TPB,17. Deslocamento leve,18. Número de geradores,19.1 Número de Passageiros,19.2 Capacidade de Carga (t),19.3 Número de Tripulantes,19.4 Número de Redes,19.5 Número de Poltronas,19.6 Número de Camarotes,19.7 Número de Coletes,19.8 Número de Boias,19.9 Número de Bares,19.10 Número de Cozinhas,19.11 Número de Porões,19.12 Número de Escadas de Acesso Interno,19.13 Número de Portas de Acesso Lateral,19.14 Número de Conveses,19.15 Número de Funcionários de Limpeza,19.16 Número de Banheiros,19.17 Número de Vasos Sanitários,20.1 Qual é a periodicidade da manutenção da embarcação,20.1 Caso Outra,20.2 Qual o ano da última reforma ?,21.1 O recurso utilizado para fabricação/aquisição da embarcação foi:,21.1 Caso Outra,22.1 Tempo de duração da viagem entre (Origem - Destino),22.2 Tempo de duração da viagem entre (Destino - Origem),23.1 Custo Rede,23.2 Custo Poltrona,23.3 Custo Camarote,24.1 Consumo de Combustível (L) (Origem - Destino),24.2 Consumo de Combustível (L) (Destino - Origem),26. Quantas viagens essa embarcação faz por mês no sentido origem/destino,27. E quantas viagens essa embarcação faz por mês no sentido destino/origem: ,28. Há coletores para coleta seletiva de lixo?             ,29.Há pontos de recepção de resíduos no trajeto?  ,"29. Se sim, Onde ?",30. Há destinação de resíduos recicláveis?  ,31. Há destinação seletiva do óleo de cozinha?         ,32. Qual a destinação do óleo de cozinha? ,33. A embarcação possui tanque de armazenamento de efluentes?,"33. Se sim, Qual a Capacidade",34. A empresa é autorizada a prestar o serviço de transporte fluvial de Passageiros e Cargas?,"35. (SE COD 1, 2 OU 3 Na P34) Quais os órgão?",35. Caso Outros,36. . (SE COD 4 Na P34) Quais as dificuldades que o/a sr/a encontra para obter a autorização para prestação de serviço de transporte fluvial?,37. Como são atadas as redes dos passageiros na embarcação?,"38. A embarcação possui Certificado de Livre Prática em vigor? (CLP - Autorização a ser emitida pelo órgão de vigilância sanitária federal competente – ANVISA, para uma embarcação operar embarque e desembarque de viajantes, cargas ou suprimentos).",39.1 Número de Banheiros Masculinos,39.1 Número de Banheiros Femininos,39.1 Número de Banheiros Necessidades Especiais,40.1 As Pias possuem Papel toalha ?,40.2 As Pias possuem Papel Sabonete Líquido ?,QAE_01_01 Existe acesso à embarcação com largura mínima de 1 m e balaustrada de proteção?,QAE_01_02 Existem corrimãos laterais instalados na balaustrada do dispositivo de acesso com alturas de 920 e 700mm?,QAE_01_03 Existe dispositivo de acesso com piso regular e antiderrapante?,QAE_01_04 Existe dispositivo de acesso sinalizado com piso de alerta?,"QAE_01_05 Existem áreas de manobra para pessoa em cadeira de rodas entre o local de acesso e a área reservada para passageiros com deficiência ou mobilidade reduzida e áreas de uso público ou coletivo, incluindo sanitários?",QAE_01_06 Existem áreas de manobra em conformidade com os padrões normativos?,QAE_01_07 Existem áreas de circulação com largura em conformidade com o padrão normativo?,QAE_01_08 Existem camarotes acessíveis no convés destinado ao transporte de passageiros com deficiência ou mobilidade reduzida?,QAE_01_09 Existe sinalização ao acesso do camarote em conformidade com os requisitos normativo?.,QAE_01_10 Existe nível de iluminação adequado e dentro dos limites normativos?,QAE_02_01 Existe acesso ao convés de passageiros sem o uso de degrau?,QAE_02_02 Existe vão livre no acesso ao convés de passageiros maior ou igual a 800mm?,QAE_03_01 Existe disponibilidade de cadeira de rodas manual a bordo?,QAE_03_02 As dimensões e características da cadeira de rodas está em conformidade?,QAE_04_01 Existem quatro assentos preferenciais destinados às pessoas com deficiência ou com mobilidade reduzida?,QAE_04_02 Existe cromo diferenciação nos assentos preferenciais?,QAE_04_03 Existe sinalização indicativa nos assentos preferenciais?,QAE_04_04 Existe sinalização indicativa em bom estado de conservação?,QAE_04_05 Existe localização de assentos preferenciais nas fileiras de corredor e próximo aos acessos de embarque e desembarque?,QAE_04_06 Existem apoios de braços retráteis?,QAE_05_01 Existem assentos preferenciais para pessoas obesas?,QAE_05_02 A largura dos assentos preferenciais para pessoas obesas é igual à largura de dois assentos do tipo utilizado na embarcação?,"QAE_05_03 Existe um espaço livre frontal, de no mínimo 600 mm, nos assentos destinados a pessoas obesas?",QAE_05_04 Existem assentos destinados a pessoas obesas que suportem uma carga de 250kg?,QAE_06_01 Existem duas áreas reservadas e identificadas para passageiros em cadeiras de rodas (módulo de referência)?,"QAE_06_02 As dimensões dos módulos de referência, estão em conformidade com os limites estabelecidos?",QAE_06_03 Sinalização dos Módulos de referência em conformidade com os padrões estabelecidos.,QAE_06_04 Existe sistema de travamento das cadeiras de rodas eficiente?,QAE_06_05 Existe sistema de travamento fixo para cadeira de rodas no sentido longitudinal da embarcação?,QAE_06_06 O sistema de travamento está em estado satisfatório?,QAE_06_07 Existe indicação sobre utilização do sistema de travamento?,"QAE_07_01 Os obstáculos como pilares, balaustradas e apoios de mão ou qualquer outro com altura superior a 5mm receberam tratamento cromo diferenciado?","QAE_08_01 Existem elementos suspensos entre 600 e 2.100mm de altura do piso do convés que se projetem sobre as áreas de circulação, sem sinalização tátil de alerta no piso do convés (piso tátil de alerta)?",QAE_08_02 Existe piso tátil de alerta apresenta cor contrastante com o piso adjacente?,QAE_08_03 Existe sinalização em conformidade com os requisitos aplicáveis?,QAE_09_01 Existe pelo menos um boxe sanitário acessível localizado no convés destinado ao transporte de passageiros com deficiência ou mobilidade reduzida?,QAE_09_02 As dimensões estão em conformidade com os limites estabelecidos?,QAE_09_03 Existe área de transferência com dimensões em conformidade com os limites estabelecidos?,QAE_09_04 Existe área de manobra em conformidade com os requisitos aplicáveis e com dimensões em conformidade com os limites estabelecidos?,QAE_09_05 A Porta abre para fora do boxe?,QAE_09_06 O vão livre da porta está em conformidade com o limite estabelecido?,QAE_10_01 A sinalização do sanitário está em conformidade com os requisitos estabelecidos?,QAE_10_02 Existe posicionamento e funcionamento de dispositivo de sinalização de emergência?,QAE_11_01 As barras de apoio estão fixadas adequadamente e com resistência dentro dos limites estabelecidos?,QAE_11_02 Existem barras de apoio e transferência em boxes para vasos sanitários estão em conformidade com os padrões estabelecidos?,QAE_11_03 As dimensões e posicionamento das barras de apoio e transferência em boxes para vasos sanitários estão em conformidade com os padrões estabelecidos?,QAE_11_04 A altura e características de instalação dos vasos sanitários estão em conformidade com os padrões estabelecidos?,QAE_11_05 O posicionamento da descarga do vaso sanitário está em conformidade com o padrão estabelecido?,QAE_11_06 A localização dos acessórios dos banheiros não interfere com as áreas de manobra e transferência nem com a utilização das barras de apoio?,QAE_11_07 Existe puxador horizontal na porta de acesso ao boxe sanitário acessível?,QAE_11_08 Existe pelo menos um boxe para chuveiro acessível?,QAE_12_01 Existe dispositivo para transposição de portas no convés destinado ao transporte de passageiros com deficiência ou mobilidade reduzida.,QAE_12_02 Portas e seus acessos com dimensões em conformidade com os requisitos estabelecidos.,QAE_12_03 Inclinação do dispositivo de transposição de soleira dentro dos limites estabelecidos. (ver nota),Área de Navegação,Tipo de navegação
COOPERATIVA VIAÇÃO CURUÁ,"RUA VEREADOR CARINO SIMÕES, 50 - CENTRO - CURUÁ",991262338,JOELSON RIBEIRO RABELO,12 DE MAIO II,ALENQUER - CURUÁ,ALENQUER - CURUÁ,TRAPICHE MUNICIPAL DE ALENQUER,ALENQUER,PA,PORTO DE CURUÁ,CURUÁ,PA,023003360-8,1985,PASSAGEIRO/CARGA GERAL,MADEIRA,15.00,3.70,1.00,1.20,135,15,1,15,3,1,22,10,2,22,,0,24,2,0,1,1,0,2,1,1,1,1,ANUAL,,2016,PRÓPRIO,,3,3,25.00,0.00,0.00,40,40,8,8,NÃO,NÃO,,NÃO,NÃO,-,NÃO,,"Sim, de Passageiros e Cargas",Marinha,,,"Cabides individuais, tipo escápula",NÃO,1,0,0,NÃO,SIM,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,,,,,BAIXO AMAZONAS,ESTADUAL
14 DE OUTUBRO S/B,"RUA ARMANDO PRADO, 2619",991233260,NÃO INFORMADO,14 DE OUTUBRO,MANAUS - JAPURÁ,MANAUS - MARAÃ - JAPURÁ,BALSA BRANCA,MANAUS,AM,PORTO MUNICIPAL DE JAPURÁ,JAPURÁ,AM,001.021.116-4,2003,PASSAGEIRO/CARGA GERAL,MADEIRA,31.45,7.60,1.80,2.20,550,17,2,185,40,3,192,150,7,192,0,8,200,6,1,1,2,1,1,2,2,8,8,EVENTUAL,,2013,PRÓPRIO,,20,20,100.00,0.00,300.00,1000,1000,4,4,SIM,SIM,BARREIRINHA,NÃO,NÃO,-,SIM,1000,"Sim, de Passageiros e Cargas",Marinha,,,"Cabides individuais, tipo escápula",SIM,4,4,0,SIM,SIM,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,AMAZONAS,ESTADUAL
NÃO TEM/INFORMAL,NÃO INFORMADO/NÃO TEM,Não tem/Não informado,NÃO INFORMADO,15 DE AGOSTO,ITAMARATI - EURINEPÉ,ITAMARATI - EURINEPÉ,TERMINAL HIDROVIÁRIO DE ITAMARATI,ITAMARATI,AM,TRAPICHE MUNICIPAL DE EURINEPÉ,EURINEPÉ,AM,Não tem/Não informado,Não informado,PASSAGEIRO/CARGA GERAL,MADEIRA,26.20,6.55,1.70,2.10,420,10,1,110,20,1,70,90,4,47,0,2,47,5,0,1,1,1,2,1,1,4,4,ANUAL,,2014,PRÓPRIO,,24,24,60.00,0.00,100.00,900,900,8,8,NÃO,NÃO,,NÃO,NÃO,-,NÃO,,"Sim, de Passageiros e Cargas",Marinha,,,Varão metálico,NÃO,2,2,0,NÃO,NÃO,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,AMAZONAS,ESTADUAL
CLENAVE,"TRAVESSA MANOEL AFONSO, 658",991178850,CLENALDO OLIVEIRA BRITO,6 DE AGOSTO,ORIXIMINÁ - JURUTI,ORIXIMINÁ - JURUTI,TRAPICHE MUNICIPAL DE JURUTI,ORIXIMINÁ,PA,PORTO DE TROMBETAS,JURUTI,PA,023009596-8,2003,PASSAGEIRO/CARGA GERAL,MADEIRA,20.50,5.40,1.85,2.10,200,18,1,40,8,2,68,36,3,68,0,0,80,5,0,1,2,2,2,2,3,2,2,ANUAL,,2015,PRÓPRIO,,5,4,30.00,0.00,0.00,150,100,4,4,SIM,NÃO,,NÃO,NÃO,-,SIM,500,"Sim, de Passageiros e Cargas",Marinha,,,Varão metálico,SIM,1,1,0,SIM,SIM,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,,,,,,,,,,,,,,,,,,,BAIXO AMAZONAS,ESTADUAL
ARAPARI NAVEGAÇÃO LTDA,"RUA BEIRA MAR, SN",991404541,EDI BRAGA,A JATO - ARAPARI,CAMETÁ - TUCURUÍ,CAMETÁ - MOCAJUBA - BAIÃO - TUCURUÍ,PORTO OSMAR BARRA ,CAMETÁ,PA,PORTO DE TUCURUÍ,TUCURUÍ,PA,Não tem/Não informado,2011,LANCHA,ALUMÍNIO,18.30,2.80,1.80,2.00,200,18,1,20,5,0,90,0,3,0,90,0,115,8,0,0,0,0,1,1,1,1,0,ANUAL,,2014,FINANCIADO E JÁ QUITADO,,8,8,0.00,65.00,0.00,500,500,12,12,NÃO,NÃO,,NÃO,NÃO,-,NÃO,,Sim apenas de passageiros,Marinha,,,Não possui espaço para redes/poltrona,NÃO,1,0,0,SIM,SIM,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BELÉM/MARAJÓ/TOCANTINS,ESTADUAL
A JATO I ,RUA SÃO JOÃO BATISTA,982665782,CARMIRO ALVES,A JATO I ,CAMETÁ - TUCURUÍ,CAMETÁ - MOCAJUBA - BAIÃO - TUCURUÍ,PORTO OSMAR BARRA ,CAMETÁ,PA,PORTO DE TUCURUÍ,TUCURUÍ,PA,Não tem/Não informado,Não informado,LANCHA,ALUMÍNIO,21.00,4.20,1.80,2.00,290,25,2,20,5,1,70,0,3,0,70,0,110,4,0,0,0,0,1,1,1,2,2,ANUAL,,2015,PRÓPRIO,,6,6,0.00,65.00,0.00,500,500,8,8,SIM,NÃO,,NÃO,NÃO,-,NÃO,,Sim apenas de passageiros,Marinha,,,Não possui espaço para redes/poltrona,SIM,1,1,0,SIM,SIM,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BELÉM/MARAJÓ/TOCANTINS,ESTADUAL
B. DE O. NOUÉS TRANSPORTE E COMERCIO,"RUA RAIMUNDO LIMA, 144",33432707,BERNADO OLIVEIRA,A. NUNES II,MANAUS - TEFÉ,MANAUS - CODAJÁS - COARI - TEFÉ,ROADWAY,MANAUS,AM,TERMINAL HIDROVIÁRIO DE TEFÉ,TEFÉ,AM,001.143.562-3,2010,PASSAGEIRO/CARGA GERAL,AÇO NAVAL,39.57,9.20,2.70,3.25,829,15,1,223,44,2,372,188,8,372,0,6,380,16,1,1,7,3,4,3,1,12,12,SEMESTRAL,,2015,PRÓPRIO,,40,38,150.00,0.00,600.00,3200,2200,4,4,SIM,SIM,MANAUS,NÃO,NÃO,-,SIM,3000,"Sim, de Passageiros e Cargas",Antaq,,,Varão metálico,SIM,6,6,0,SIM,SIM,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,AMAZONAS,ESTADUAL
B. M. NAVEGAÇÕES LTDA,"CANAL DAS PEDRINHAS, 393",991465479,BARBARA CAVALCANTI,A.M.  SANTOS,MACAPÁ - AFUÁ,MACAPÁ - AFUÁ,RAMPA SANTA INÊS,MACAPÁ,AP,TRAPICHE MUNICIPAL DE AFUÁ,AFUÁ,PA,Não tem/Não informado,2014,LANCHA,ALUMÍNIO,21.00,4.20,1.20,1.60,360,22,2,20,5,1,98,0,3,0,98,0,116,5,1,1,0,0,1,1,1,2,2,SEMESTRAL,,2014,PRÓPRIO,,2,2,0.00,40.00,0.00,700,700,30,30,SIM,NÃO,,SIM,NÃO,-,SIM,1600,Sim apenas de passageiros,Antaq,,,Não possui espaço para redes/poltrona,SIM,1,1,0,SIM,SIM,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,AMAPÁ,INTERESTADUAL
FROTA LEÃO,"RUA SÃO BOA VENTURA, 252",932680006,MOISÉS LEÃO,ABENÇOADO II,BELÉM - CAMETÁ,BELÉM - CAMETÁ,SANTA EFIGÊNCIA,BELÉM,PA,PORTO UNIÃO,CAMETÁ,PA,021028640-7,2000,PASSAGEIRO/CARGA GERAL,MADEIRA,27.60,6.40,1.61,1.90,420,22,2,190,35,2,175,168,4,170,0,6,180,6,1,1,4,2,2,3,1,7,7,ANUAL,,2014,PRÓPRIO,,10,10,40.00,0.00,120.00,800,800,8,8,SIM,NÃO,,NÃO,SIM,ARMAZENADO,NÃO,,"Sim, de Passageiros e Cargas",Marinha,,,Varão metálico,SIM,3,3,1,SIM,SIM,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BELÉM/MARAJÓ/TOCANTINS,ESTADUAL
HENVIL TRANSPORTES,"RUA SIQUEIRA MENDES, 254",981149053,JAIRO,ACATAUASSU NUNES,ICOARACI - CAMARÁ,ICOARACI - CAMARÁ,HENVIL - ICOARACI,ICOARACI,PA,TERMINAL HIDDROVIÁRIO DE CAMARÁ,CAMARÁ,PA,021.023926.3,1991,FERRY BOAT,AÇO NAVAL,63.00,12.00,1.20,1.60,420,12,2,340,60,2,436,300,6,0,436,6,458,6,1,1,8,2,2,2,3,6,6,SEMESTRAL,,2015,PRÓPRIO,,2.5,2.5,0.00,16.43,0.00,400,400,30,30,NÃO,NÃO,,NÃO,NÃO,-,SIM,"1,200","Sim, de Passageiros e Cargas",ARCON,,,Não possui espaço para redes/poltrona,SIM,3,3,0,SIM,SIM,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,BELÉM/MARAJÓ/TOCANTINS,ESTADUAL
