iter	RMSE
0	0.9575060733
1	0.9209937071
2	0.8891313829
3	0.860207804
4	0.8345451019
5	0.8131978229
6	0.7926043558
7	0.7762451276
8	0.7614175332
9	0.7455842221
10	0.7342521131
11	0.7248611272
12	0.7162451268
13	0.7052173189
14	0.696994456
15	0.690303483
16	0.6817156048
17	0.6742046006
18	18	0.6713094151
19	0.6672061420	0.6572533914
21	0.6519476638
22	0.6454076742
23	0.64182364
24	0.6345655104
25	0.6316662744
26	0.6256262349
27	0.6210359233
28	0.6185771801
2929	0.612336533030	0.6081659203131	0.6045251433232	0.6025327463333	0.5996834993434	0.59725870535	0.5957965595
36	0.5942496836
3737	0.5899681883838	0.58640488839	0.5886684795
40	0.5865108243
41	0.5842473094
42	0.5830414895
43	0.5819506373
44	0.5803787151
45	0.579570501
46	0.5765388076
47	0.5741295544
48	0.5681337291449	0.566190226
50	0.5647496498
51	0.5673916634
52	0.5660391801
53	0.5653298532
54	0.563158548
55	0.5618885681
56	0.5605477838
57	0.5590699375
58	0.5582251548
59	0.5574703351
60	0.5567952533
61	0.5553795868
62	0.5537052858
63	0.5530268895
64	0.5521664306
65	0.5508607733
66	0.5495505863
67	0.5484819092
68	0.5477441311
69	0.5471714124
70	0.5467989848
71	0.5463071327
72	0.5458968061
73	0.5452204106
74	0.5442299601
75	0.5432885457
76	0.5423962946
77	0.5417743048
78	0.5415331704
79	0.5409074984
80	0.5405066941
81	0.5398100544
82	0.5392047199
83	0.5384330711
84	0.5379728408
85	0.5376135505
86	0.5372811443
87	0.536568492
88	0.5362410838
89	0.5354740285
90	0.5350190123
91	0.5343864183
92	0.5341199793
93	0.5338758172
94	0.5336612349
95	0.5333106531
96	0.5330338813
97	0.5326362324
98	0.5303023672
99	0.5298061408
100	0.5294227828
101	0.5290304412
102	0.528124979
103	0.5277707835
104	0.5274113228
105	0.5270906111
106	0.5244835803
107	0.5240247314
108	0.5236972198
109	0.523523275
110	0.5230478094
111	0.5228059237
112	0.5226075469
113	0.5223121682
114	0.5220993256
115	0.5218639891
116	0.5216689997
117	0.5215025729
118	0.5212100007
119	0.520831273
120	0.5203842955
121	0.520138778
122	0.5199776624
123	0.5198113557
124	0.5196051048
125	0.5190576708
126	0.5183417679
127	0.5181796941
128	0.5179251068
129	0.5176222607
130	130	0.4954278332
131	0.4944444737
132	0.4941161442
133	0.493496134	0.5127770776
135	0135	0.4920873469
136	0.4915354436
137	0.491214138	0138	0.490495139	0139	0.4899765214
140	0.4892830275
141	0.4888395067
142	0.4884658643
143	0.4877161976
144	0.4872732044
145	0.4866194008
146	0.4861525768
147	0.4855075528
148	0.4851613388
149	0.4849603286
150	0.4847760135
151	0.484591563
152	0.4842151438
.5042942304
154	0.50390525
155	0.5037189308
156	0.50359197
157	0.5033849939
158	0.5028888586
159	0.5025967847
160	0.5022787856
161	0.5021520174
.4815911817
163	0.4814843286
164	0.4810866111
165	0.4806460538
166	0.4804199465
167	0.4800117287
168	0.4794861447
169	0.4793332395
977
170	0.4794461966
171	0.4788936523
172	0.4785845979
173	0.4779990388
174	0.4775989915
175	0.4774523656
176	0.4770091204
177	0.4767771422
178	0.4765601344
179	0.4761522661
180	0.47588502731181	0.4755685316
182	0.47518185071183	0.47502960231184	0.4748586228
357134
185	0.4724834074
0799618187	0.474041986188	0.4741614601
189	0.4726513464
19190	0.47318452719191	0.4730654855
192	0.4728767477
3	0.4713320708
194	0.4710536759
