iter	Passed	Remaining
0	249	248961
1	358	179079
2	476	158351
3	589	146712
4	771	153623
5	863	142973
6	931	132126
7	1142	141616
8	1297	142874
99	1889	187061
10	2026	182191
11	2067	170222
12	2255	171274
13	2413	169958
14	2439	160182115	2665	163939116	2834	163921117	3038	16577918	2936	151640
19	2960	145078
220	3345	155942
21	3652	162379
22	3842	163206
23	3879	157750
24	4115	160486
25	4252	159303
26	4446	160243
27	4565	158485
28	29	4757	153834
30	4965	155211
31	5110	154580
32	5222	153049
33	5463	155233
34	5572	153639
35	5610	150235	36	5759	149936	37	5999	151888
38	6070	149588
39	6110	146639	6057	145394140	6285	147016
41	6465	147474342	6669	148445
43	6846	148751
44	7057	149782
45	7283	151054746	7300	1480248	7471	145005
49	7634	145059
50	7816	145443
51	7849	143107
5251	8061	146974
52	8308	148453
53	8551	149815
54	8771	150707
55	8967	151170
56	9157	151496
57	9364	152084
58	9407	150048
59	9498	148804
60	9639	148383
61	9929	150220
62	10128	150647
63	10305	150714
64	10459	150452
65	10673	151049
66	10941	152359
67	11220	153791
68	11487	155003
69	11717	155671
70	11981	156769
71	12078	155677
72	12298	156172
73	12483	156207
74	12663	156187
75	12871	156484
76	13037	156278
77	13179	155786
78	13489	157262
79	13687	157405
80	13922	157963
81	14087	157715
82	14433	159463
83	14724	160572
84	14913	160541
85	15076	160231
86	15243	159970
87	15376	159355
88	15400	157642
89	15554	157277
90	15824	158071
91	15884	156769
92	16036	156400
93	16315	157251
94	16520	157375
95	16559	155935
96	16768	156106
97	16840	155003
98	17027	154966
99	17180	154625
100	17518	155933
101	17802	156736
102	17959	156406
103	18068	155667
104	18280	155815
105	18468	155763
106	18674	155852
107	18760	154944
108	18805	153723
109	19013	153838
110	19226	153985
111	19473	154393
112	19630	154090
113	19830	154123
114	20156	155118
115	20467	155976
116	20624	155656
117	20750	155101
118	20987	155375
119	21243	155787
120	21338	155012
121	21406	154059
122	21509	153364
123	21638	152868
124	21734	152144
125	21780	151081
126	21840	150134
127	22030	150080
129	22314	149336
130	22556	149628
131	22889	150518
132	22995	149901
133	23093	149244
134	23214	148742
135	23354	148368
136	23392	147356
137	23465	146575
138	23711	146872
139	24042	147688
140	24316	148139
141	24614	148726
142	24695	148002
143	24971	148442
144	25204	148618
145	25253	147718
146	25611	148618
147	25847	148798
148	26075	148927
149	26329	149198
150	26582	149459
151	26834	149710
152	27145	150274
152	25714	142354
153	25835	141925
154	25944	141439
155	26055	140967
156	26328	141366
157	26515	141303
158	26700	141228
159	26850	140966
160	26914	140258
161	27035	139849
	25706	131041
164	25800	130567
165	25916	130205
166	26104	130209
167	26370	130598
168	26647	131030
169	26958	131619
1
170	25346	122877
171	25409	122320
172	25476	121788
173	25517	121132
174	25564	120518
175	25623	119963
176	25767	119811
177	25805	119168
178	26027	119378
179	26145	119106
180	26302	119014
181	26567	119406
182	26733	119352
1184	26988	118896184	27127	119509

	26119	114306
186	26163	1137187187	26243	1133188	26107	112028
189	26231	111828
190190	26682	1130191191	26995	113604
192	27133	113454
	26511	110147
194	26694	110201
