Name,MAE,RMSE,MAPE,SMAPE
1_1,3.812,4.57,22.900000000000002,20.3
1_2,6.452,8.009,11.5,11.600000000000001
1_3,4.722,5.968,15.5,14.399999999999999
1_4,3.533,4.419,19.5,17.9
1_5,3.214,4.187,22.3,19.5
1_6,6.967,8.614,12.5,12.9
1_7,7.306,8.542,13.8,13.600000000000001
1_8,8.075,10.122,11.799999999999999,11.5
1_9,6.545,8.113,14.799999999999999,14.299999999999999
1_10,7.976,9.949,12.1,11.899999999999999
1_11,7.486,9.289,12.3,11.799999999999999
1_12,6.066,7.593,9.6,9.5
1_13,8.206,10.271,11.0,10.7
1_14,6.05,7.911,11.1,10.9
1_15,8.441,10.363,10.4,10.6
1_16,4.797,6.022,22.900000000000002,20.8
1_17,4.256,5.205,15.8,14.899999999999999
1_18,8.046,9.8,10.0,10.2
1_19,5.081,6.196,14.2,13.600000000000001
1_20,5.674,7.035,13.200000000000001,13.0
1_21,4.676,6.003,13.0,12.9
1_22,6.659,8.696,9.4,9.1
1_23,4.533,5.684,16.0,15.9
1_24,6.58,8.26,11.200000000000001,10.8
1_25,7.704,9.54,10.4,10.4
1_26,6.087,7.352,13.8,13.900000000000002
1_27,3.447,4.159,17.5,16.8
1_28,8.608,11.265,10.4,10.4
1_29,7.691,9.894,11.600000000000001,11.600000000000001
1_30,4.56,5.771,12.5,12.2
1_31,6.095,7.542,11.3,11.200000000000001
1_32,5.301,6.808,14.000000000000002,13.3
1_33,7.628,9.164,12.2,12.1
1_34,3.71,4.7,16.3,15.8
1_35,7.14,8.822,11.5,11.799999999999999
1_36,8.133,10.036,11.899999999999999,11.700000000000001
1_37,5.112,6.409,19.2,18.7
1_38,8.428,10.874,11.1,10.9
1_39,6.179,7.504,15.9,15.2
1_40,4.293,5.168,17.1,16.0
1_41,4.281,5.634,24.3,21.4
1_42,5.332,6.578,17.2,16.2
1_43,6.471,7.58,14.499999999999998,13.8
1_44,4.97,6.349,18.9,18.099999999999998
1_45,7.872,9.799,11.200000000000001,11.0
1_46,6.137,8.032,11.4,11.200000000000001
1_47,3.533,4.528,18.6,17.0
1_48,5.387,6.735,12.3,11.899999999999999
1_49,4.028,4.96,15.299999999999999,14.799999999999999
1_50,6.465,8.137,11.1,10.8
2_1,4.804,6.047,18.8,17.1
2_2,7.4,9.649,10.4,10.0
2_3,6.55,8.238,13.5,13.600000000000001
2_4,4.425,5.366,15.6,15.5
2_5,3.931,5.186,16.5,16.2
2_6,8.572,11.148,11.899999999999999,11.3
2_7,7.685,9.304,10.4,10.2
2_8,9.963,12.482,9.6,9.8
2_9,6.88,8.872,10.5,10.4
2_10,9.451,11.791,10.2,9.9
2_11,7.853,10.582,9.1,8.9
2_12,8.883,11.127,9.700000000000001,9.700000000000001
2_13,9.561,12.118,9.2,8.799999999999999
2_14,7.409,8.69,9.8,9.700000000000001
2_15,9.247,11.836,8.3,8.3
2_16,5.288,6.703,16.8,15.7
2_17,6.059,7.236,14.299999999999999,14.099999999999998
2_18,9.625,11.751,8.799999999999999,8.6
2_19,6.139,7.704,11.700000000000001,11.600000000000001
2_20,6.53,7.974,11.3,10.9
2_21,7.53,9.507,13.900000000000002,14.000000000000002
2_22,7.789,10.286,7.199999999999999,7.3
2_23,4.97,6.321,13.200000000000001,12.8
2_24,7.538,10.054,8.799999999999999,8.799999999999999
2_25,10.884,13.33,10.2,10.4
2_26,8.289,9.905,13.4,13.100000000000001
2_27,4.319,5.137,16.0,15.299999999999999
2_28,10.264,12.387,9.0,8.9
